	dataset_config: {'path': '/home/fr27/Documents/pyscript/wisdm/dataset/arff_files/phone/accel/all.csv', 'path_test': '/home/fr27/Documents/pyscript/wisdm/dataset/arff_files/phone/accel/all.csv', 'resize': None, 'pad': None, 'crop': None, 'normalize': None, 'class_order': None, 'extend_channel': None, 'flip': False}
CLASS_ORDER: [618, 676, 374, 517, 91, 719, 13, 636, 808, 722, 492, 847, 638, 643, 138, 455, 884, 191, 167, 738, 52, 476, 497, 696, 792, 876, 764, 181, 338, 334, 662, 467, 303, 166, 565, 262, 723, 375, 506, 241, 859, 703, 706, 680, 812, 152, 846, 729, 647, 587, 382, 309, 571, 559, 832, 168, 159, 365, 831, 789, 701, 370, 226, 463, 114, 522, 122, 245, 236, 735, 448, 864, 473, 324, 536, 743, 289, 538, 533, 380, 308, 564, 362, 160, 373, 252, 268, 169, 385, 795, 588, 599, 186, 427, 818, 461, 567, 29, 757, 72, 664, 49, 97, 477, 278, 750, 892, 621, 525, 790, 239, 591, 817, 164, 592, 678, 135, 717, 275, 779, 71, 838, 38, 302, 839, 742, 296, 485, 501, 312, 511, 875, 855, 724, 256, 823, 783, 319, 443, 573, 51, 614, 470, 317, 153, 653, 712, 352, 15, 705, 483, 412, 739, 460, 399, 37, 558, 681, 86, 596, 641, 99, 741, 264, 585, 371, 132, 0, 414, 291, 826, 93, 148, 487, 698, 418, 85, 404, 161, 94, 631, 75, 650, 305, 654, 594, 283, 778, 34, 694, 246, 292, 219, 459, 452, 675, 529, 752, 205, 183, 858, 715, 47, 512, 304, 761, 108, 794, 881, 56, 137, 381, 4, 479, 251, 360, 890, 8, 285, 224, 23, 154, 537, 395, 768, 70, 803, 158, 580, 520, 513, 834, 177, 253, 505, 198, 79, 397, 622, 299, 28, 376, 800, 577, 802, 617, 871, 339, 586, 216, 819, 140, 361, 327, 58, 250, 113, 426, 474, 76, 510, 629, 111, 150, 784, 873, 821, 87, 447, 439, 886, 117, 46, 673, 409, 843, 508, 364, 659, 841, 660, 598, 128, 203, 416, 450, 178, 231, 820, 521, 378, 172, 20, 550, 408, 112, 438, 874, 326, 464, 869, 891, 809, 311, 589, 697, 519, 95, 465, 507, 442, 141, 19, 882, 237, 634, 202, 145, 73, 243, 488, 500, 207, 174, 816, 556, 320, 61, 851, 195, 747, 133, 189, 666, 620, 32, 197, 563, 836, 695, 646, 661, 386, 562, 699, 651, 830, 84, 155, 791, 535, 842, 130, 400, 118, 196, 767, 356, 824, 10, 422, 349, 860, 595, 225, 80, 143, 81, 445, 336, 775, 2, 785, 716, 597, 700, 106, 615, 889, 626, 24, 683, 623, 684, 665, 276, 5, 42, 281, 611, 344, 870, 69, 856, 39, 383, 736, 763, 642, 561, 863, 499, 342, 18, 799, 171, 368, 667, 449, 406, 9, 627, 322, 468, 387, 759, 269, 284, 523, 411, 727, 230, 98, 866, 25, 765, 350, 247, 315, 30, 624, 295, 844, 182, 495, 89, 149, 405, 92, 815, 222, 1, 687, 807, 516, 489, 769, 390, 625, 300, 867, 754, 63, 431, 657, 434, 16, 88, 441, 223, 557, 325, 837, 372, 446, 410, 353, 144, 96, 861, 74, 134, 139, 248, 797, 518, 260, 848, 423, 825, 758, 749, 693, 457, 751, 17, 498, 265, 90, 490, 258, 541, 528, 3, 491, 601, 279, 259, 355, 297, 760, 609, 121, 619, 857, 685, 321, 129, 274, 872, 211, 119, 21, 603, 496, 109, 486, 555, 214, 369, 776, 11, 417, 469, 674, 298, 810, 868, 862, 672, 756, 233, 215, 331, 105, 66, 748, 272, 732, 494, 193, 718, 232, 116, 786, 502, 294, 877, 65, 548, 261, 62, 401, 524, 351, 428, 781, 566, 829, 782, 115, 213, 605, 780, 552, 721, 323, 78, 59, 710, 271, 314, 707, 307, 341, 777, 147, 885, 254, 430, 440, 288, 549, 725, 40, 560, 156, 437, 451, 200, 208, 686, 766, 290, 389, 64, 616, 415, 398, 737, 206, 745, 798, 704, 210, 644, 187, 772, 607, 828, 67, 504, 286, 805, 880, 340, 218, 714, 730, 354, 318, 534, 277, 391, 773, 306, 238, 379, 466, 711, 157, 257, 893, 413, 481, 532, 201, 235, 396, 43, 582, 801, 509, 708, 833, 209, 104, 652, 101, 850, 22, 570, 865, 263, 658, 740, 293, 569, 280, 746, 110, 221, 329, 328, 576, 429, 728, 127, 266, 282, 540, 553, 77, 131, 190, 545, 194, 313, 180, 806, 120, 822, 212, 393, 454, 630, 436, 12, 670, 435, 568, 514, 384, 734, 453, 53, 649, 835, 444, 640, 480, 648, 310, 425, 554, 878, 301, 530, 581, 270, 774, 402, 367, 31, 124, 45, 337, 484, 146, 796, 493, 217, 176, 542, 151, 175, 546, 574, 628, 240, 173, 637, 551, 590, 608, 713, 610, 668, 726, 888, 671, 456, 332, 731, 227, 185, 125, 48, 242, 584, 421, 102, 770, 690, 845, 583, 482, 702, 600, 44, 6, 849, 679, 663, 827, 363, 287, 478, 606, 840, 544, 184, 316, 394, 255, 883, 424, 515, 691, 612, 204, 547, 879, 343, 407, 388, 346, 126, 793, 602, 142, 333, 358, 244, 163, 229, 733, 273, 720, 359, 645, 854, 14, 377, 471, 188, 753, 578, 682, 458, 35, 788, 179, 54, 220, 575, 462, 335, 228, 136, 249, 432, 472, 677, 419, 165, 50, 26, 771, 633, 852, 392, 692, 345, 613, 7, 632, 234, 787, 853, 33, 804, 656, 604, 420, 170, 639, 347, 41, 199, 433, 403, 655, 192, 55, 755, 162, 539, 709, 82, 572, 107, 103, 531, 366, 635, 60, 744, 357, 57, 579, 123, 330, 762, 814, 688, 689, 593, 811, 100, 526, 527, 68, 887, 669, 27, 348, 503, 813, 83, 475, 36, 267, 543]
======
LLL_Net(
  (model): SimpleMLP(
    (fc1): Linear(in_features=91, out_features=1000, bias=True)
    (fc2): Sequential()
  )
  (heads): ModuleList()
)
======

************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time=  0.4s | Train: skip eval | Valid: time=  0.2s loss=3.584, TAw acc=  1.4% | *
| Epoch   2, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.573, TAw acc=  1.4% | *
| Epoch   3, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.562, TAw acc=  1.4% | *
| Epoch   4, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.551, TAw acc=  1.4% | *
| Epoch   5, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.541, TAw acc=  1.4% | *
| Epoch   6, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.530, TAw acc=  2.0% | *
| Epoch   7, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.519, TAw acc=  2.0% | *
| Epoch   8, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.509, TAw acc=  2.0% | *
| Epoch   9, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.498, TAw acc=  2.7% | *
| Epoch  10, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.488, TAw acc=  4.1% | *
| Epoch  11, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.478, TAw acc=  4.8% | *
| Epoch  12, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.467, TAw acc=  5.4% | *
| Epoch  13, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.457, TAw acc=  5.4% | *
| Epoch  14, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.447, TAw acc=  6.8% | *
| Epoch  15, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.437, TAw acc=  6.8% | *
| Epoch  16, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.427, TAw acc=  8.2% | *
| Epoch  17, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.417, TAw acc=  8.8% | *
| Epoch  18, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.407, TAw acc=  8.2% | *
| Epoch  19, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.397, TAw acc= 10.2% | *
| Epoch  20, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.388, TAw acc= 14.3% | *
| Epoch  21, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.378, TAw acc= 15.0% | *
| Epoch  22, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.369, TAw acc= 17.0% | *
| Epoch  23, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.360, TAw acc= 17.7% | *
| Epoch  24, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.351, TAw acc= 19.7% | *
| Epoch  25, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.342, TAw acc= 19.7% | *
| Epoch  26, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.333, TAw acc= 22.4% | *
| Epoch  27, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.324, TAw acc= 23.1% | *
| Epoch  28, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.315, TAw acc= 24.5% | *
| Epoch  29, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.307, TAw acc= 25.2% | *
| Epoch  30, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.298, TAw acc= 25.9% | *
| Epoch  31, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.290, TAw acc= 26.5% | *
| Epoch  32, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.282, TAw acc= 27.9% | *
| Epoch  33, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.273, TAw acc= 28.6% | *
| Epoch  34, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.265, TAw acc= 28.6% | *
| Epoch  35, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.257, TAw acc= 29.9% | *
| Epoch  36, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.249, TAw acc= 29.9% | *
| Epoch  37, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.241, TAw acc= 29.9% | *
| Epoch  38, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.234, TAw acc= 29.9% | *
| Epoch  39, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.226, TAw acc= 30.6% | *
| Epoch  40, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.218, TAw acc= 31.3% | *
| Epoch  41, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.211, TAw acc= 31.3% | *
| Epoch  42, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.203, TAw acc= 32.0% | *
| Epoch  43, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.196, TAw acc= 32.7% | *
| Epoch  44, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.189, TAw acc= 33.3% | *
| Epoch  45, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.181, TAw acc= 33.3% | *
| Epoch  46, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.174, TAw acc= 33.3% | *
| Epoch  47, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.167, TAw acc= 34.0% | *
| Epoch  48, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.160, TAw acc= 34.0% | *
| Epoch  49, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.153, TAw acc= 33.3% | *
| Epoch  50, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.146, TAw acc= 32.7% | *
| Epoch  51, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.139, TAw acc= 33.3% | *
| Epoch  52, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.132, TAw acc= 32.7% | *
| Epoch  53, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.125, TAw acc= 32.7% | *
| Epoch  54, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.118, TAw acc= 32.7% | *
