	dataset_config: {'path': '/home/fr27/Documents/pyscript/wisdm/dataset/arff_files/phone/accel/all.csv', 'path_test': '/home/fr27/Documents/pyscript/wisdm/dataset/arff_files/phone/accel/all.csv', 'resize': None, 'pad': None, 'crop': None, 'normalize': None, 'class_order': None, 'extend_channel': None, 'flip': False}
CLASS_ORDER: [163, 214, 517, 396, 724, 684, 792, 585, 457, 146, 266, 376, 883, 663, 740, 725, 292, 129, 405, 279, 666, 422, 282, 209, 533, 341, 280, 239, 388, 836, 774, 560, 100, 383, 830, 76, 864, 271, 777, 637, 541, 738, 377, 557, 497, 181, 435, 37, 231, 887, 520, 136, 449, 275, 56, 166, 602, 826, 301, 356, 552, 570, 184, 543, 171, 820, 534, 317, 307, 216, 465, 451, 93, 603, 66, 742, 592, 367, 733, 650, 384, 313, 50, 398, 851, 22, 379, 482, 407, 20, 382, 54, 762, 364, 531, 223, 556, 655, 867, 70, 289, 784, 228, 434, 95, 809, 704, 164, 3, 247, 747, 395, 696, 392, 417, 528, 440, 35, 32, 483, 258, 594, 415, 713, 254, 105, 871, 27, 850, 219, 796, 418, 546, 104, 707, 813, 140, 611, 573, 421, 680, 876, 565, 702, 476, 754, 297, 135, 21, 257, 711, 511, 240, 718, 273, 708, 305, 642, 604, 64, 803, 18, 677, 62, 276, 606, 729, 812, 695, 834, 338, 16, 336, 428, 489, 699, 168, 778, 200, 244, 544, 631, 286, 147, 243, 634, 746, 119, 838, 877, 408, 484, 39, 880, 845, 537, 492, 14, 523, 553, 65, 316, 731, 397, 512, 53, 791, 683, 350, 4, 638, 211, 825, 59, 458, 848, 657, 500, 6, 25, 846, 475, 563, 856, 175, 579, 471, 290, 165, 818, 645, 423, 802, 295, 865, 185, 45, 674, 402, 786, 858, 709, 567, 94, 152, 198, 268, 558, 566, 222, 521, 672, 359, 13, 281, 420, 783, 236, 562, 177, 660, 854, 882, 161, 371, 1, 822, 461, 298, 766, 176, 347, 400, 9, 509, 329, 607, 712, 43, 884, 872, 485, 518, 679, 835, 180, 626, 499, 613, 629, 141, 776, 112, 374, 860, 210, 749, 324, 48, 460, 250, 381, 863, 536, 647, 264, 326, 775, 74, 515, 348, 450, 539, 633, 879, 299, 687, 478, 503, 380, 128, 357, 227, 548, 621, 215, 773, 410, 723, 217, 771, 743, 31, 751, 182, 251, 722, 310, 529, 38, 781, 857, 90, 468, 193, 255, 491, 385, 203, 810, 779, 61, 736, 133, 85, 859, 7, 283, 114, 173, 386, 447, 58, 425, 831, 47, 580, 241, 748, 126, 582, 727, 508, 87, 795, 765, 595, 355, 549, 77, 893, 314, 109, 267, 756, 819, 150, 269, 572, 753, 196, 83, 221, 68, 456, 454, 839, 601, 172, 577, 878, 424, 840, 321, 472, 259, 719, 199, 322, 593, 801, 498, 728, 248, 814, 178, 139, 808, 401, 143, 578, 632, 750, 399, 246, 132, 11, 862, 346, 97, 309, 514, 705, 636, 403, 389, 137, 617, 768, 72, 426, 591, 670, 614, 393, 739, 439, 624, 318, 609, 79, 225, 419, 758, 590, 488, 717, 368, 474, 237, 363, 459, 824, 81, 726, 816, 411, 319, 414, 890, 111, 194, 52, 230, 365, 351, 501, 30, 510, 881, 323, 2, 84, 622, 526, 874, 308, 448, 23, 532, 183, 121, 583, 88, 107, 525, 735, 170, 390, 432, 804, 187, 652, 669, 158, 344, 588, 235, 157, 694, 616, 334, 797, 201, 115, 574, 623, 156, 151, 294, 110, 130, 576, 737, 433, 524, 218, 159, 265, 832, 345, 91, 469, 413, 328, 387, 103, 852, 569, 12, 325, 767, 96, 360, 331, 42, 154, 685, 332, 78, 615, 798, 494, 191, 769, 866, 327, 162, 505, 337, 793, 654, 888, 205, 358, 160, 473, 369, 891, 658, 620, 464, 26, 667, 256, 535, 889, 844, 466, 763, 651, 80, 597, 366, 678, 843, 378, 404, 148, 206, 86, 673, 155, 800, 441, 75, 817, 277, 340, 564, 682, 586, 249, 760, 788, 213, 675, 252, 665, 827, 671, 262, 732, 120, 19, 127, 169, 106, 551, 681, 659, 453, 610, 885, 703, 849, 195, 502, 761, 370, 412, 869, 361, 63, 261, 232, 780, 799, 122, 847, 700, 596, 234, 487, 82, 853, 842, 530, 828, 153, 108, 117, 559, 444, 542, 29, 855, 287, 470, 362, 653, 571, 55, 668, 689, 134, 698, 443, 605, 584, 438, 149, 641, 648, 179, 303, 690, 639, 124, 811, 99, 618, 701, 233, 125, 406, 522, 635, 686, 349, 504, 208, 734, 693, 8, 190, 272, 192, 452, 598, 416, 861, 744, 442, 10, 430, 600, 870, 333, 138, 892, 339, 545, 554, 538, 17, 245, 625, 0, 197, 480, 644, 730, 697, 220, 815, 145, 330, 116, 646, 57, 507, 15, 875, 354, 477, 493, 284, 752, 587, 770, 113, 285, 293, 823, 71, 101, 167, 229, 436, 772, 226, 131, 437, 36, 28, 189, 270, 391, 207, 320, 649, 807, 741, 479, 868, 664, 757, 821, 794, 833, 263, 188, 841, 372, 212, 353, 5, 789, 790, 46, 612, 291, 806, 706, 375, 123, 640, 455, 41, 429, 496, 311, 278, 547, 352, 142, 89, 745, 688, 755, 73, 253, 174, 787, 721, 829, 568, 44, 589, 427, 627, 691, 204, 302, 599, 656, 782, 643, 710, 300, 60, 516, 661, 34, 714, 463, 296, 720, 692, 24, 490, 676, 40, 886, 33, 304, 561, 715, 409, 51, 315, 373, 274, 49, 486, 481, 446, 581, 67, 312, 527, 662, 102, 431, 202, 118, 608, 242, 764, 550, 467, 224, 343, 445, 238, 837, 495, 513, 519, 873, 716, 805, 555, 342, 628, 260, 306, 92, 69, 619, 394, 98, 785, 288, 540, 186, 144, 630, 575, 759, 506, 462, 335]
======
LLL_Net(
  (model): SimpleMLP(
    (fc1): Linear(in_features=91, out_features=1000, bias=True)
    (fc2): Sequential()
  )
  (heads): ModuleList()
)
======

************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time=  0.9s | Train: skip eval | Valid: time=  0.3s loss=3.575, TAw acc=  0.8% | *
| Epoch   2, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=3.565, TAw acc=  0.8% | *
| Epoch   3, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=3.554, TAw acc=  0.8% | *
| Epoch   4, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=3.544, TAw acc=  1.5% | *
| Epoch   5, time=  0.2s | Train: skip eval | Valid: time=  0.3s loss=3.534, TAw acc=  3.0% | *
| Epoch   6, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.524, TAw acc=  6.0% | *
| Epoch   7, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.514, TAw acc=  6.0% | *
| Epoch   8, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=3.503, TAw acc=  6.0% | *
| Epoch   9, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=3.493, TAw acc=  6.8% | *
| Epoch  10, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.483, TAw acc=  6.8% | *
| Epoch  11, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.473, TAw acc= 11.3% | *
| Epoch  12, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.463, TAw acc= 12.8% | *
| Epoch  13, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.453, TAw acc= 12.8% | *
| Epoch  14, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.443, TAw acc= 13.5% | *
| Epoch  15, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.433, TAw acc= 15.8% | *
| Epoch  16, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.423, TAw acc= 17.3% | *
| Epoch  17, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.414, TAw acc= 18.8% | *
| Epoch  18, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=3.404, TAw acc= 21.8% | *
| Epoch  19, time=  0.2s | Train: skip eval | Valid: time=  0.3s loss=3.394, TAw acc= 23.3% | *
| Epoch  20, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.385, TAw acc= 23.3% | *
| Epoch  21, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=3.375, TAw acc= 26.3% | *
| Epoch  22, time=  0.2s | Train: skip eval | Valid: time=  0.3s loss=3.365, TAw acc= 26.3% | *
| Epoch  23, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.356, TAw acc= 26.3% | *
| Epoch  24, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.346, TAw acc= 26.3% | *
| Epoch  25, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=3.337, TAw acc= 26.3% | *
| Epoch  26, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=3.327, TAw acc= 27.1% | *
| Epoch  27, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.318, TAw acc= 27.1% | *
| Epoch  28, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=3.309, TAw acc= 27.8% | *
| Epoch  29, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.299, TAw acc= 27.8% | *
| Epoch  30, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.290, TAw acc= 28.6% | *
| Epoch  31, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.281, TAw acc= 28.6% | *
| Epoch  32, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=3.272, TAw acc= 29.3% | *
| Epoch  33, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=3.263, TAw acc= 29.3% | *
| Epoch  34, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.254, TAw acc= 29.3% | *
| Epoch  35, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=3.244, TAw acc= 29.3% | *
| Epoch  36, time=  0.2s | Train: skip eval | Valid: time=  0.3s loss=3.235, TAw acc= 29.3% | *
| Epoch  37, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=3.226, TAw acc= 30.1% | *
| Epoch  38, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.217, TAw acc= 30.8% | *
| Epoch  39, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=3.208, TAw acc= 30.8% | *
| Epoch  40, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.199, TAw acc= 31.6% | *
| Epoch  41, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.191, TAw acc= 31.6% | *
| Epoch  42, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=3.182, TAw acc= 31.6% | *
| Epoch  43, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=3.173, TAw acc= 32.3% | *
| Epoch  44, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.165, TAw acc= 32.3% | *
| Epoch  45, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=3.156, TAw acc= 32.3% | *
| Epoch  46, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=3.147, TAw acc= 31.6% | *
| Epoch  47, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=3.139, TAw acc= 31.6% | *
| Epoch  48, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.130, TAw acc= 31.6% | *
| Epoch  49, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=3.122, TAw acc= 31.6% | *
| Epoch  50, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=3.113, TAw acc= 31.6% | *
| Epoch  51, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=3.105, TAw acc= 31.6% | *
| Epoch  52, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.096, TAw acc= 30.8% | *
| Epoch  53, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=3.088, TAw acc= 30.8% | *
| Epoch  54, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.079, TAw acc= 30.8% | *
