	dataset_config: {'path': '/home/fr27/Documents/pyscript/har/DSADS/dsads.mat', 'path_test': '/home/fr27/Documents/pyscript/har/DSADS/dsads.mat', 'resize': None, 'pad': None, 'crop': None, 'normalize': None, 'class_order': None, 'extend_channel': None, 'flip': False}
CLASS_ORDER: [121, 136, 46, 47, 69, 130, 71, 101, 72, 17, 79, 111, 64, 100, 49, 10, 19, 87, 13, 78, 129, 115, 27, 124, 80, 144, 94, 3, 125, 35, 24, 122, 22, 99, 58, 140, 40, 29, 65, 110, 56, 117, 50, 118, 91, 25, 16, 83, 59, 88, 8, 113, 131, 126, 55, 1, 76, 89, 139, 39, 85, 112, 53, 37, 114, 81, 142, 96, 90, 57, 21, 106, 36, 45, 107, 12, 149, 103, 97, 11, 30, 123, 42, 33, 14, 61, 9, 66, 105, 52, 86, 28, 31, 135, 60, 77, 63, 23, 18, 26, 7, 150, 141, 145, 54, 119, 4, 34, 84, 2, 104, 148, 5, 48, 92, 116, 68, 128, 143, 109, 133, 95, 6, 138, 70, 108, 93, 67, 32, 20, 44, 51, 137, 0, 38, 62, 43, 82, 73, 98, 127, 134, 146, 151, 74, 120, 41, 15, 147, 132, 75, 102]
======
LLL_Net(
  (model): SimpleMLP(
    (fc1): Linear(in_features=405, out_features=66, bias=True)
    (fc2): Sequential()
  )
  (heads): ModuleList()
)
======

************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time=  0.4s | Train: skip eval | Valid: time=  0.2s loss=2.459, TAw acc= 12.2% | *
| Epoch   2, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=2.437, TAw acc= 15.7% | *
| Epoch   3, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.412, TAw acc= 28.7% | *
| Epoch   4, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.391, TAw acc= 28.7% | *
| Epoch   5, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.371, TAw acc= 27.8% | *
| Epoch   6, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=2.332, TAw acc= 48.7% | *
| Epoch   7, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.313, TAw acc= 33.9% | *
| Epoch   8, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.288, TAw acc= 21.7% | *
| Epoch   9, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.265, TAw acc= 30.4% | *
| Epoch  10, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.216, TAw acc= 47.8% | *
| Epoch  11, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=2.182, TAw acc= 22.6% | *
| Epoch  12, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=2.144, TAw acc= 46.1% | *
| Epoch  13, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=2.111, TAw acc= 23.5% | *
| Epoch  14, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.085, TAw acc= 40.0% | *
| Epoch  15, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=2.034, TAw acc= 62.6% | *
| Epoch  16, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.985, TAw acc= 61.7% | *
| Epoch  17, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=1.936, TAw acc= 47.0% | *
| Epoch  18, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.909, TAw acc= 75.7% | *
| Epoch  19, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=1.863, TAw acc= 63.5% | *
| Epoch  20, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=1.815, TAw acc= 53.9% | *
| Epoch  21, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.775, TAw acc= 70.4% | *
| Epoch  22, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.738, TAw acc= 81.7% | *
| Epoch  23, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.712, TAw acc= 56.5% | *
| Epoch  24, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.700, TAw acc= 53.0% | *
| Epoch  25, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.683, TAw acc= 45.2% | *
| Epoch  26, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.606, TAw acc= 70.4% | *
| Epoch  27, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=1.554, TAw acc= 87.0% | *
| Epoch  28, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=1.518, TAw acc= 71.3% | *
| Epoch  29, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.475, TAw acc= 86.1% | *
| Epoch  30, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=1.423, TAw acc= 89.6% | *
| Epoch  31, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=1.378, TAw acc= 75.7% | *
| Epoch  32, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=1.339, TAw acc= 87.8% | *
| Epoch  33, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.332, TAw acc= 79.1% | *
| Epoch  34, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.292, TAw acc= 87.0% | *
| Epoch  35, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.252, TAw acc= 80.0% | *
| Epoch  36, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.198, TAw acc= 81.7% | *
| Epoch  37, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.169, TAw acc= 84.3% | *
| Epoch  38, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=1.128, TAw acc= 92.2% | *
| Epoch  39, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.103, TAw acc= 83.5% | *
