SimpleMLP(
  (features): Sequential(
    (0): Linear(in_features=91, out_features=1000, bias=True)
    (1): ReLU(inplace=True)
    (2): Dropout(p=0.5, inplace=False)
  )
  (classifier): Linear(in_features=1000, out_features=894, bias=True)
)
-- >> Start of training phase << --

0it [00:00, ?it/s]
Epoch 0 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 6.4578
	Loss_MB/train_phase/train_stream/Task000 = 5.9081
	Time_Epoch/train_phase/train_stream/Task000 = 0.7403
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.0519
	Top1_Acc_MB/train_phase/train_stream/Task000 = 0.1765

0it [00:00, ?it/s]
Epoch 1 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 5.4011
	Loss_MB/train_phase/train_stream/Task000 = 4.8375
	Time_Epoch/train_phase/train_stream/Task000 = 0.0925
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.4117
	Top1_Acc_MB/train_phase/train_stream/Task000 = 0.4118

0it [00:00, ?it/s]
Epoch 2 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 4.3376
	Loss_MB/train_phase/train_stream/Task000 = 3.8531
	Time_Epoch/train_phase/train_stream/Task000 = 0.0887
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.5851
	Top1_Acc_MB/train_phase/train_stream/Task000 = 0.8235

0it [00:00, ?it/s]
Epoch 3 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 3.2842
	Loss_MB/train_phase/train_stream/Task000 = 2.9734
	Time_Epoch/train_phase/train_stream/Task000 = 0.0882
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.6856
	Top1_Acc_MB/train_phase/train_stream/Task000 = 0.5882

0it [00:00, ?it/s]
Epoch 4 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 2.4203
	Loss_MB/train_phase/train_stream/Task000 = 1.9139
	Time_Epoch/train_phase/train_stream/Task000 = 0.0884
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.7796
	Top1_Acc_MB/train_phase/train_stream/Task000 = 0.8824

0it [00:00, ?it/s]
Epoch 5 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 1.7960
	Loss_MB/train_phase/train_stream/Task000 = 1.5100
	Time_Epoch/train_phase/train_stream/Task000 = 0.0886
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.8152
	Top1_Acc_MB/train_phase/train_stream/Task000 = 0.7647

0it [00:00, ?it/s]
Epoch 6 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 1.3689
	Loss_MB/train_phase/train_stream/Task000 = 1.0749
	Time_Epoch/train_phase/train_stream/Task000 = 0.0882
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.8590
	Top1_Acc_MB/train_phase/train_stream/Task000 = 0.8235

0it [00:00, ?it/s]
Epoch 7 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 1.1094
	Loss_MB/train_phase/train_stream/Task000 = 0.7765
	Time_Epoch/train_phase/train_stream/Task000 = 0.0889
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.8849
	Top1_Acc_MB/train_phase/train_stream/Task000 = 0.9412

0it [00:00, ?it/s]
Epoch 8 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.8852
	Loss_MB/train_phase/train_stream/Task000 = 0.9274
	Time_Epoch/train_phase/train_stream/Task000 = 0.0878
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9141
	Top1_Acc_MB/train_phase/train_stream/Task000 = 0.9412

0it [00:00, ?it/s]
Epoch 9 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.7533
	Loss_MB/train_phase/train_stream/Task000 = 0.7632
	Time_Epoch/train_phase/train_stream/Task000 = 0.0885
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9222
	Top1_Acc_MB/train_phase/train_stream/Task000 = 0.9412

0it [00:00, ?it/s]
Epoch 10 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.6348
	Loss_MB/train_phase/train_stream/Task000 = 0.6147
	Time_Epoch/train_phase/train_stream/Task000 = 0.0884
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9335
	Top1_Acc_MB/train_phase/train_stream/Task000 = 0.8824

0it [00:00, ?it/s]
Epoch 11 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.5637
	Loss_MB/train_phase/train_stream/Task000 = 0.5630
	Time_Epoch/train_phase/train_stream/Task000 = 0.0885
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9335
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 12 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.4826
	Loss_MB/train_phase/train_stream/Task000 = 0.4562
	Time_Epoch/train_phase/train_stream/Task000 = 0.0886
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9546
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 13 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.4316
	Loss_MB/train_phase/train_stream/Task000 = 0.4950
	Time_Epoch/train_phase/train_stream/Task000 = 0.0884
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9579
	Top1_Acc_MB/train_phase/train_stream/Task000 = 0.8824

0it [00:00, ?it/s]
Epoch 14 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.3809
	Loss_MB/train_phase/train_stream/Task000 = 0.2642
	Time_Epoch/train_phase/train_stream/Task000 = 0.0884
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9627
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 15 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.3533
	Loss_MB/train_phase/train_stream/Task000 = 0.2885
	Time_Epoch/train_phase/train_stream/Task000 = 0.0881
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9692
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 16 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.3292
	Loss_MB/train_phase/train_stream/Task000 = 0.4152
	Time_Epoch/train_phase/train_stream/Task000 = 0.0886
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9643
	Top1_Acc_MB/train_phase/train_stream/Task000 = 0.9412

0it [00:00, ?it/s]
Epoch 17 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.3042
	Loss_MB/train_phase/train_stream/Task000 = 0.3062
	Time_Epoch/train_phase/train_stream/Task000 = 0.0884
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9643
	Top1_Acc_MB/train_phase/train_stream/Task000 = 0.9412

0it [00:00, ?it/s]
Epoch 18 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.2849
	Loss_MB/train_phase/train_stream/Task000 = 0.2511
	Time_Epoch/train_phase/train_stream/Task000 = 0.0879
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9724
	Top1_Acc_MB/train_phase/train_stream/Task000 = 0.9412

0it [00:00, ?it/s]
Epoch 19 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.2544
	Loss_MB/train_phase/train_stream/Task000 = 0.2371
	Time_Epoch/train_phase/train_stream/Task000 = 0.0883
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9741
	Top1_Acc_MB/train_phase/train_stream/Task000 = 0.9412

0it [00:00, ?it/s]
Epoch 20 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.2432
	Loss_MB/train_phase/train_stream/Task000 = 0.1037
	Time_Epoch/train_phase/train_stream/Task000 = 0.0884
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9708
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 21 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.2207
	Loss_MB/train_phase/train_stream/Task000 = 0.1442
	Time_Epoch/train_phase/train_stream/Task000 = 0.0886
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9741
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 22 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.2121
	Loss_MB/train_phase/train_stream/Task000 = 0.2277
	Time_Epoch/train_phase/train_stream/Task000 = 0.0881
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9789
	Top1_Acc_MB/train_phase/train_stream/Task000 = 0.9412

0it [00:00, ?it/s]
Epoch 23 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.2043
	Loss_MB/train_phase/train_stream/Task000 = 0.1721
	Time_Epoch/train_phase/train_stream/Task000 = 0.0886
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9757
	Top1_Acc_MB/train_phase/train_stream/Task000 = 0.9412

0it [00:00, ?it/s]
Epoch 24 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.1848
	Loss_MB/train_phase/train_stream/Task000 = 0.0976
	Time_Epoch/train_phase/train_stream/Task000 = 0.0880
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9773
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 25 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.1836
	Loss_MB/train_phase/train_stream/Task000 = 0.2144
	Time_Epoch/train_phase/train_stream/Task000 = 0.0877
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9724
	Top1_Acc_MB/train_phase/train_stream/Task000 = 0.9412

0it [00:00, ?it/s]
Epoch 26 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.1654
	Loss_MB/train_phase/train_stream/Task000 = 0.1397
	Time_Epoch/train_phase/train_stream/Task000 = 0.0888
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9822
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 27 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.1607
	Loss_MB/train_phase/train_stream/Task000 = 0.2211
