	dataset_config: {'path': '/home/fr27/Documents/pyscript/har/DSADS/dsads.mat', 'path_test': '/home/fr27/Documents/pyscript/har/DSADS/dsads.mat', 'resize': None, 'pad': None, 'crop': None, 'normalize': None, 'class_order': None, 'extend_channel': None, 'flip': False}
CLASS_ORDER: [42, 77, 138, 51, 61, 65, 93, 14, 67, 147, 117, 12, 22, 133, 64, 87, 128, 94, 75, 48, 85, 86, 11, 102, 88, 84, 35, 66, 125, 15, 106, 145, 73, 118, 97, 99, 57, 83, 132, 149, 52, 136, 31, 81, 20, 60, 5, 109, 44, 98, 124, 50, 17, 104, 46, 148, 39, 151, 120, 89, 123, 38, 45, 55, 25, 122, 115, 3, 34, 41, 24, 131, 112, 69, 40, 13, 79, 116, 59, 101, 16, 142, 1, 4, 8, 100, 18, 80, 26, 95, 110, 71, 70, 143, 129, 68, 49, 105, 19, 114, 23, 10, 36, 141, 32, 27, 78, 144, 113, 43, 33, 103, 137, 58, 92, 107, 37, 82, 134, 7, 121, 91, 29, 111, 2, 108, 150, 135, 146, 127, 63, 126, 6, 47, 28, 9, 54, 21, 130, 72, 74, 96, 139, 0, 119, 76, 53, 62, 56, 90, 140, 30]
======
LLL_Net(
  (model): SimpleMLP(
    (fc1): Linear(in_features=405, out_features=66, bias=True)
    (fc2): Sequential()
  )
  (heads): ModuleList()
)
======

************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time=  0.4s | Train: skip eval | Valid: time=  0.2s loss=2.455, TAw acc= 18.3% | *
| Epoch   2, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.428, TAw acc= 22.6% | *
| Epoch   3, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.401, TAw acc= 19.1% | *
| Epoch   4, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.370, TAw acc= 19.1% | *
| Epoch   5, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.338, TAw acc= 38.3% | *
| Epoch   6, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.285, TAw acc= 60.0% | *
| Epoch   7, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=2.253, TAw acc= 61.7% | *
| Epoch   8, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=2.218, TAw acc= 46.1% | *
| Epoch   9, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=2.181, TAw acc= 42.6% | *
| Epoch  10, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.111, TAw acc= 67.0% | *
| Epoch  11, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.068, TAw acc= 46.1% | *
| Epoch  12, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.010, TAw acc= 67.0% | *
| Epoch  13, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.957, TAw acc= 51.3% | *
| Epoch  14, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.912, TAw acc= 58.3% | *
| Epoch  15, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.838, TAw acc= 71.3% | *
| Epoch  16, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.783, TAw acc= 56.5% | *
| Epoch  17, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.708, TAw acc= 76.5% | *
| Epoch  18, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.650, TAw acc= 74.8% | *
| Epoch  19, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.584, TAw acc= 81.7% | *
| Epoch  20, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.518, TAw acc= 86.1% | *
| Epoch  21, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=1.459, TAw acc= 86.1% | *
| Epoch  22, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.427, TAw acc= 76.5% | *
| Epoch  23, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.366, TAw acc= 74.8% | *
| Epoch  24, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.331, TAw acc= 84.3% | *
| Epoch  25, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.300, TAw acc= 78.3% | *
| Epoch  26, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.213, TAw acc= 89.6% | *
| Epoch  27, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.180, TAw acc= 87.8% | *
| Epoch  28, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.119, TAw acc= 77.4% | *
| Epoch  29, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.093, TAw acc= 86.1% | *
| Epoch  30, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.025, TAw acc= 90.4% | *
| Epoch  31, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.980, TAw acc= 78.3% | *
| Epoch  32, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.944, TAw acc= 90.4% | *
| Epoch  33, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.931, TAw acc= 95.7% | *
| Epoch  34, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.887, TAw acc= 93.0% | *
| Epoch  35, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.853, TAw acc= 96.5% | *
| Epoch  36, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.823, TAw acc= 98.3% | *
| Epoch  37, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.826, TAw acc= 84.3% |
| Epoch  38, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.786, TAw acc= 96.5% | *
| Epoch  39, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.754, TAw acc= 96.5% | *
| Epoch  40, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.723, TAw acc= 99.1% | *
| Epoch  41, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.693, TAw acc= 99.1% | *
| Epoch  42, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.679, TAw acc= 97.4% | *
| Epoch  43, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.682, TAw acc= 91.3% |
| Epoch  44, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.646, TAw acc= 96.5% | *
| Epoch  45, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.616, TAw acc= 93.9% | *
| Epoch  46, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.597, TAw acc= 90.4% | *
| Epoch  47, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.583, TAw acc= 93.0% | *
| Epoch  48, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.564, TAw acc= 99.1% | *
| Epoch  49, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.561, TAw acc= 92.2% | *
| Epoch  50, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=0.533, TAw acc= 97.4% | *
