	dataset_config: {'path': '/home/fr27/Documents/pyscript/wisdm/dataset/arff_files/phone/accel/all.csv', 'path_test': '/home/fr27/Documents/pyscript/wisdm/dataset/arff_files/phone/accel/all.csv', 'resize': None, 'pad': None, 'crop': None, 'normalize': None, 'class_order': None, 'extend_channel': None, 'flip': False}
CLASS_ORDER: [542, 309, 536, 350, 704, 430, 149, 745, 46, 603, 118, 20, 285, 525, 703, 491, 459, 528, 705, 89, 313, 689, 334, 50, 12, 100, 421, 490, 170, 379, 677, 48, 357, 292, 827, 252, 696, 640, 793, 52, 159, 632, 825, 750, 673, 551, 757, 843, 751, 254, 488, 41, 215, 5, 382, 492, 433, 736, 366, 449, 28, 697, 108, 849, 257, 883, 422, 669, 699, 636, 862, 529, 761, 303, 342, 478, 126, 249, 377, 803, 746, 432, 678, 437, 645, 410, 272, 223, 103, 314, 680, 735, 647, 768, 583, 683, 708, 467, 541, 47, 116, 609, 469, 161, 500, 291, 372, 765, 298, 213, 104, 865, 259, 832, 135, 727, 339, 484, 423, 98, 91, 574, 380, 558, 796, 97, 125, 458, 301, 619, 729, 568, 214, 593, 820, 32, 56, 526, 90, 834, 773, 251, 237, 302, 388, 720, 79, 122, 501, 231, 269, 224, 839, 864, 23, 723, 560, 354, 157, 554, 702, 341, 196, 207, 340, 795, 107, 261, 853, 426, 189, 124, 519, 738, 332, 329, 508, 755, 476, 767, 852, 38, 707, 753, 652, 297, 371, 362, 352, 420, 740, 694, 470, 27, 799, 402, 180, 607, 553, 199, 579, 539, 575, 88, 192, 195, 456, 612, 628, 128, 364, 17, 253, 837, 84, 13, 534, 466, 221, 77, 396, 220, 150, 656, 462, 807, 40, 463, 847, 690, 585, 208, 375, 598, 676, 30, 142, 590, 383, 665, 295, 496, 181, 324, 183, 845, 721, 78, 856, 262, 345, 626, 1, 101, 373, 586, 273, 464, 4, 325, 791, 299, 566, 9, 555, 57, 112, 474, 890, 130, 801, 381, 394, 160, 672, 833, 830, 448, 359, 538, 806, 34, 21, 623, 831, 785, 62, 631, 193, 216, 565, 451, 594, 363, 737, 516, 6, 140, 33, 787, 874, 58, 846, 866, 838, 66, 487, 479, 497, 190, 81, 191, 390, 204, 804, 16, 646, 281, 26, 695, 858, 296, 509, 851, 518, 307, 132, 35, 717, 520, 336, 891, 166, 331, 245, 630, 72, 92, 842, 749, 888, 186, 304, 162, 243, 848, 789, 775, 562, 197, 457, 473, 268, 814, 686, 682, 127, 179, 419, 399, 495, 616, 627, 83, 608, 892, 756, 51, 234, 96, 764, 461, 187, 792, 316, 675, 812, 387, 674, 482, 260, 728, 811, 794, 417, 563, 338, 577, 436, 425, 887, 378, 537, 241, 882, 446, 389, 280, 73, 625, 664, 781, 747, 174, 872, 275, 709, 165, 580, 222, 780, 39, 817, 385, 86, 397, 452, 505, 137, 265, 481, 502, 499, 581, 368, 515, 318, 229, 836, 240, 355, 69, 255, 55, 859, 395, 282, 203, 244, 185, 706, 284, 681, 522, 726, 270, 198, 156, 504, 569, 236, 823, 668, 711, 863, 855, 182, 867, 225, 797, 293, 19, 176, 232, 784, 661, 871, 671, 133, 877, 113, 893, 258, 786, 247, 294, 45, 429, 620, 177, 878, 75, 85, 762, 63, 415, 572, 201, 816, 715, 701, 286, 805, 219, 692, 507, 770, 274, 663, 435, 651, 43, 239, 22, 431, 370, 778, 685, 759, 109, 460, 605, 418, 667, 347, 649, 582, 687, 10, 411, 873, 175, 600, 0, 212, 533, 173, 544, 158, 226, 547, 2, 206, 54, 742, 129, 876, 662, 131, 172, 808, 278, 840, 151, 153, 202, 506, 578, 67, 217, 386, 335, 556, 489, 320, 754, 263, 483, 323, 49, 798, 360, 557, 629, 571, 617, 688, 854, 813, 604, 540, 861, 445, 152, 31, 24, 841, 748, 87, 802, 416, 271, 713, 486, 828, 230, 642, 684, 365, 468, 510, 349, 353, 264, 477, 407, 218, 766, 860, 550, 567, 327, 549, 826, 171, 881, 732, 14, 613, 315, 570, 351, 498, 348, 168, 744, 622, 400, 654, 343, 602, 3, 344, 428, 99, 618, 447, 8, 145, 123, 311, 512, 524, 657, 719, 401, 710, 564, 42, 18, 641, 637, 228, 71, 15, 235, 178, 143, 752, 233, 328, 783, 356, 698, 404, 532, 760, 74, 11, 139, 875, 648, 655, 60, 333, 724, 110, 624, 119, 287, 559, 250, 319, 521, 615, 465, 450, 95, 810, 210, 601, 844, 322, 7, 242, 670, 391, 769, 693, 300, 511, 283, 870, 722, 824, 472, 141, 276, 148, 403, 700, 59, 454, 455, 412, 835, 889, 587, 535, 120, 441, 475, 868, 869, 44, 169, 879, 679, 279, 485, 779, 885, 730, 317, 850, 121, 167, 660, 453, 138, 503, 650, 266, 306, 384, 763, 289, 36, 610, 774, 880, 68, 367, 184, 821, 718, 277, 330, 818, 790, 772, 638, 200, 117, 398, 361, 70, 548, 326, 712, 80, 822, 29, 246, 597, 114, 493, 392, 714, 424, 691, 346, 733, 147, 741, 111, 611, 358, 442, 438, 53, 61, 659, 209, 576, 588, 163, 494, 134, 633, 782, 776, 731, 591, 93, 146, 443, 227, 471, 427, 777, 545, 312, 376, 413, 596, 310, 406, 25, 606, 819, 155, 635, 592, 589, 800, 513, 531, 144, 414, 543, 94, 434, 734, 256, 595, 666, 621, 105, 290, 829, 573, 238, 393, 82, 164, 614, 743, 599, 205, 321, 884, 653, 584, 106, 308, 643, 136, 546, 409, 305, 37, 480, 64, 337, 716, 517, 639, 408, 514, 115, 857, 739, 758, 194, 788, 267, 552, 561, 523, 154, 771, 530, 439, 440, 369, 634, 886, 288, 65, 644, 211, 76, 527, 405, 658, 188, 248, 725, 809, 102, 444, 374, 815]
======
LLL_Net(
  (model): SimpleMLP(
    (fc1): Linear(in_features=91, out_features=1000, bias=True)
    (fc2): Sequential()
  )
  (heads): ModuleList()
)
======

************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time=  0.9s | Train: skip eval | Valid: time=  0.2s loss=3.456, TAw acc=  7.7% | *
| Epoch   2, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=3.438, TAw acc=  9.8% | *
| Epoch   3, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.419, TAw acc=  9.8% | *
| Epoch   4, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.402, TAw acc= 11.9% | *
| Epoch   5, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.384, TAw acc= 14.0% | *
| Epoch   6, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.366, TAw acc= 16.1% | *
| Epoch   7, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.349, TAw acc= 18.2% | *
| Epoch   8, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.332, TAw acc= 21.0% | *
| Epoch   9, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.315, TAw acc= 21.7% | *
| Epoch  10, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.299, TAw acc= 23.8% | *
| Epoch  11, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.282, TAw acc= 25.9% | *
| Epoch  12, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=3.266, TAw acc= 25.2% | *
| Epoch  13, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=3.250, TAw acc= 24.5% | *
| Epoch  14, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.234, TAw acc= 25.2% | *
| Epoch  15, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.218, TAw acc= 25.2% | *
| Epoch  16, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=3.203, TAw acc= 24.5% | *
| Epoch  17, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=3.187, TAw acc= 23.8% | *
| Epoch  18, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.173, TAw acc= 23.1% | *
| Epoch  19, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=3.158, TAw acc= 22.4% | *
| Epoch  20, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.143, TAw acc= 22.4% | *
| Epoch  21, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.129, TAw acc= 21.7% | *
| Epoch  22, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.115, TAw acc= 20.3% | *
| Epoch  23, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.101, TAw acc= 21.0% | *
| Epoch  24, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.087, TAw acc= 21.7% | *
| Epoch  25, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=3.074, TAw acc= 21.7% | *
| Epoch  26, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.061, TAw acc= 21.7% | *
| Epoch  27, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.048, TAw acc= 22.4% | *
| Epoch  28, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.035, TAw acc= 22.4% | *
| Epoch  29, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.023, TAw acc= 22.4% | *
| Epoch  30, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=3.010, TAw acc= 22.4% | *
| Epoch  31, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.998, TAw acc= 22.4% | *
| Epoch  32, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.987, TAw acc= 22.4% | *
| Epoch  33, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.975, TAw acc= 23.1% | *
| Epoch  34, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.963, TAw acc= 23.1% | *
| Epoch  35, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.952, TAw acc= 22.4% | *
| Epoch  36, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.941, TAw acc= 22.4% | *
| Epoch  37, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.930, TAw acc= 22.4% | *
| Epoch  38, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.919, TAw acc= 22.4% | *
| Epoch  39, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.909, TAw acc= 22.4% | *
| Epoch  40, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.898, TAw acc= 23.1% | *
| Epoch  41, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.888, TAw acc= 23.8% | *
| Epoch  42, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.878, TAw acc= 23.8% | *
| Epoch  43, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=2.868, TAw acc= 23.8% | *
| Epoch  44, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.858, TAw acc= 23.8% | *
| Epoch  45, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.849, TAw acc= 23.8% | *
| Epoch  46, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.839, TAw acc= 23.8% | *
| Epoch  47, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=2.830, TAw acc= 23.8% | *
| Epoch  48, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=2.820, TAw acc= 23.8% | *
| Epoch  49, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.811, TAw acc= 23.8% | *
| Epoch  50, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.802, TAw acc= 23.8% | *
| Epoch  51, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.793, TAw acc= 25.2% | *
| Epoch  52, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=2.784, TAw acc= 25.2% | *
| Epoch  53, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.775, TAw acc= 26.6% | *
| Epoch  54, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.767, TAw acc= 25.9% | *
