	dataset_config: {'path': '/home/fr27/Documents/pyscript/har/DSADS/dsads.mat', 'path_test': '/home/fr27/Documents/pyscript/har/DSADS/dsads.mat', 'resize': None, 'pad': None, 'crop': None, 'normalize': None, 'class_order': None, 'extend_channel': None, 'flip': False}
CLASS_ORDER: [103, 47, 82, 110, 51, 7, 139, 0, 34, 124, 146, 49, 2, 69, 113, 8, 147, 120, 9, 74, 65, 87, 42, 37, 40, 60, 125, 71, 24, 88, 13, 112, 106, 100, 62, 92, 148, 137, 70, 104, 52, 127, 20, 67, 61, 132, 117, 151, 134, 81, 18, 89, 44, 43, 27, 46, 12, 115, 75, 135, 41, 145, 150, 126, 122, 118, 48, 128, 83, 50, 31, 77, 78, 97, 95, 1, 4, 14, 53, 64, 79, 108, 38, 102, 91, 114, 63, 143, 131, 121, 141, 140, 11, 116, 57, 130, 73, 86, 21, 15, 36, 138, 84, 5, 129, 136, 32, 149, 35, 17, 72, 16, 39, 10, 66, 107, 98, 93, 59, 94, 33, 109, 19, 29, 56, 105, 3, 76, 58, 142, 99, 144, 90, 28, 68, 30, 26, 96, 119, 80, 22, 45, 6, 111, 133, 25, 101, 55, 123, 85, 54, 23]
======
LLL_Net(
  (model): SimpleMLP(
    (fc1): Linear(in_features=405, out_features=66, bias=True)
    (fc2): Sequential()
  )
  (heads): ModuleList()
)
======

************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time=  0.9s | Train: skip eval | Valid: time=  0.2s loss=2.448, TAw acc= 20.9% | *
| Epoch   2, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=2.423, TAw acc= 23.5% | *
| Epoch   3, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.393, TAw acc= 24.3% | *
| Epoch   4, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.358, TAw acc= 33.9% | *
| Epoch   5, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.326, TAw acc= 44.3% | *
| Epoch   6, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.271, TAw acc= 58.3% | *
| Epoch   7, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.233, TAw acc= 43.5% | *
| Epoch   8, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.194, TAw acc= 40.0% | *
| Epoch   9, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=2.153, TAw acc= 42.6% | *
| Epoch  10, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=2.083, TAw acc= 65.2% | *
| Epoch  11, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.033, TAw acc= 40.9% | *
| Epoch  12, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.971, TAw acc= 53.0% | *
| Epoch  13, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=1.919, TAw acc= 43.5% | *
| Epoch  14, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=1.871, TAw acc= 55.7% | *
| Epoch  15, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.804, TAw acc= 61.7% | *
| Epoch  16, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=1.746, TAw acc= 50.4% | *
| Epoch  17, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.679, TAw acc= 54.8% | *
| Epoch  18, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.625, TAw acc= 71.3% | *
| Epoch  19, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=1.559, TAw acc= 75.7% | *
| Epoch  20, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=1.508, TAw acc= 79.1% | *
| Epoch  21, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.456, TAw acc= 80.0% | *
| Epoch  22, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.408, TAw acc= 80.0% | *
| Epoch  23, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.364, TAw acc= 80.9% | *
| Epoch  24, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=1.349, TAw acc= 68.7% | *
