	dataset_config: {'path': '/home/fr27/Documents/pyscript/har/DSADS/dsads.mat', 'path_test': '/home/fr27/Documents/pyscript/har/DSADS/dsads.mat', 'resize': None, 'pad': None, 'crop': None, 'normalize': None, 'class_order': None, 'extend_channel': None, 'flip': False}
CLASS_ORDER: [25, 42, 66, 137, 143, 128, 117, 8, 32, 6, 91, 95, 69, 0, 151, 58, 19, 109, 5, 7, 29, 67, 26, 105, 35, 36, 83, 70, 56, 15, 85, 22, 13, 57, 108, 27, 60, 37, 140, 97, 31, 110, 53, 142, 55, 111, 94, 41, 134, 86, 71, 52, 4, 2, 17, 88, 123, 130, 103, 112, 24, 104, 89, 96, 90, 77, 124, 106, 146, 40, 120, 48, 46, 125, 131, 44, 102, 149, 84, 126, 87, 80, 9, 93, 129, 18, 147, 127, 45, 34, 68, 99, 92, 132, 139, 100, 16, 3, 21, 54, 148, 78, 76, 50, 121, 10, 39, 135, 33, 145, 38, 116, 59, 113, 61, 11, 82, 98, 12, 115, 47, 118, 122, 136, 144, 79, 63, 101, 1, 28, 107, 14, 114, 138, 150, 141, 49, 23, 62, 73, 20, 74, 43, 65, 81, 30, 133, 51, 119, 64, 75, 72]
======
LLL_Net(
  (model): SimpleMLP(
    (fc1): Linear(in_features=405, out_features=66, bias=True)
    (fc2): Sequential()
  )
  (heads): ModuleList()
)
======

************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time=  0.9s | Train: skip eval | Valid: time=  0.2s loss=2.435, TAw acc= 21.7% | *
| Epoch   2, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.390, TAw acc= 31.3% | *
| Epoch   3, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.346, TAw acc= 43.5% | *
| Epoch   4, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.300, TAw acc= 35.7% | *
| Epoch   5, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.253, TAw acc= 44.3% | *
| Epoch   6, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.186, TAw acc= 39.1% | *
| Epoch   7, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.127, TAw acc= 33.0% | *
| Epoch   8, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.066, TAw acc= 43.5% | *
| Epoch   9, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.998, TAw acc= 52.2% | *
| Epoch  10, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=1.910, TAw acc= 47.8% | *
| Epoch  11, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.840, TAw acc= 52.2% | *
| Epoch  12, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=1.766, TAw acc= 32.2% | *
| Epoch  13, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=1.697, TAw acc= 51.3% | *
| Epoch  14, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.628, TAw acc= 56.5% | *
