	dataset_config: {'path': '/home/fr27/Documents/pyscript/har/DSADS/dsads.mat', 'path_test': '/home/fr27/Documents/pyscript/har/DSADS/dsads.mat', 'resize': None, 'pad': None, 'crop': None, 'normalize': None, 'class_order': None, 'extend_channel': None, 'flip': False}
CLASS_ORDER: [120, 29, 70, 16, 30, 67, 134, 136, 89, 108, 65, 9, 119, 149, 146, 20, 135, 125, 98, 36, 40, 115, 143, 80, 126, 35, 118, 140, 56, 52, 97, 90, 76, 37, 94, 44, 3, 144, 88, 26, 68, 10, 11, 116, 48, 43, 22, 139, 114, 8, 142, 15, 50, 78, 112, 41, 28, 27, 79, 54, 130, 45, 107, 138, 127, 23, 25, 75, 32, 106, 96, 124, 21, 72, 64, 87, 74, 110, 85, 33, 123, 104, 13, 86, 14, 117, 92, 122, 82, 1, 4, 62, 103, 151, 121, 59, 18, 100, 95, 0, 132, 34, 84, 17, 2, 63, 141, 66, 93, 57, 109, 47, 71, 101, 148, 137, 5, 61, 128, 111, 49, 38, 131, 60, 99, 77, 113, 6, 129, 73, 102, 58, 69, 81, 42, 91, 24, 7, 83, 39, 145, 53, 19, 55, 12, 46, 150, 31, 105, 147, 133, 51]
======
LLL_Net(
  (model): SimpleMLP(
    (fc1): Linear(in_features=405, out_features=66, bias=True)
    (fc2): Sequential()
  )
  (heads): ModuleList()
)
======

************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time=  0.8s | Train: skip eval | Valid: time=  0.3s loss=2.437, TAw acc= 21.7% | *
| Epoch   2, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=2.394, TAw acc= 30.4% | *
| Epoch   3, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=2.354, TAw acc= 40.0% | *
| Epoch   4, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.305, TAw acc= 43.5% | *
| Epoch   5, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.258, TAw acc= 31.3% | *
| Epoch   6, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.189, TAw acc= 42.6% | *
| Epoch   7, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.128, TAw acc= 41.7% | *
| Epoch   8, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.073, TAw acc= 25.2% | *
| Epoch   9, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.012, TAw acc= 33.9% | *
| Epoch  10, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.928, TAw acc= 52.2% | *
| Epoch  11, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.871, TAw acc= 37.4% | *
| Epoch  12, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.797, TAw acc= 46.1% | *
| Epoch  13, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.743, TAw acc= 38.3% | *
| Epoch  14, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=1.693, TAw acc= 56.5% | *
| Epoch  15, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.627, TAw acc= 66.1% | *
| Epoch  16, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.570, TAw acc= 63.5% | *
| Epoch  17, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.508, TAw acc= 53.0% | *
| Epoch  18, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.471, TAw acc= 65.2% | *
| Epoch  19, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.398, TAw acc= 75.7% | *
| Epoch  20, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.363, TAw acc= 61.7% | *
| Epoch  21, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.324, TAw acc= 64.3% | *
| Epoch  22, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.281, TAw acc= 78.3% | *
| Epoch  23, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=1.258, TAw acc= 68.7% | *
| Epoch  24, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.233, TAw acc= 64.3% | *
| Epoch  25, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.214, TAw acc= 67.0% | *
| Epoch  26, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.130, TAw acc= 81.7% | *
| Epoch  27, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=1.107, TAw acc= 85.2% | *
| Epoch  28, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.078, TAw acc= 72.2% | *
| Epoch  29, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.048, TAw acc= 74.8% | *
| Epoch  30, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=0.996, TAw acc= 80.0% | *
| Epoch  31, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=0.968, TAw acc= 75.7% | *
| Epoch  32, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=0.935, TAw acc= 86.1% | *
| Epoch  33, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=0.945, TAw acc= 85.2% |
| Epoch  34, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=0.942, TAw acc= 69.6% |
| Epoch  35, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=0.886, TAw acc= 82.6% | *
| Epoch  36, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=0.857, TAw acc= 85.2% | *
| Epoch  37, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=0.833, TAw acc= 87.8% | *
| Epoch  38, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=0.812, TAw acc= 87.8% | *
| Epoch  39, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.785, TAw acc= 89.6% | *
| Epoch  40, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=0.766, TAw acc= 89.6% | *
| Epoch  41, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=0.751, TAw acc= 90.4% | *
| Epoch  42, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=0.749, TAw acc= 87.8% | *
| Epoch  43, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=0.710, TAw acc= 87.0% | *
| Epoch  44, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.726, TAw acc= 73.9% |
| Epoch  45, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=0.675, TAw acc= 85.2% | *
| Epoch  46, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=0.646, TAw acc= 81.7% | *
| Epoch  47, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=0.635, TAw acc= 92.2% | *
| Epoch  48, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.649, TAw acc= 90.4% |
| Epoch  49, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.625, TAw acc= 87.0% | *
| Epoch  50, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=0.607, TAw acc= 89.6% | *
| Epoch  51, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.580, TAw acc= 88.7% | *
