	dataset_config: {'path': '/home/fr27/Documents/pyscript/har/DSADS/dsads.mat', 'path_test': '/home/fr27/Documents/pyscript/har/DSADS/dsads.mat', 'resize': None, 'pad': None, 'crop': None, 'normalize': None, 'class_order': None, 'extend_channel': None, 'flip': False}
CLASS_ORDER: [22, 74, 106, 49, 19, 21, 97, 69, 57, 30, 44, 92, 140, 2, 63, 129, 13, 82, 32, 96, 86, 108, 143, 93, 137, 115, 7, 23, 15, 42, 117, 48, 136, 141, 114, 5, 145, 17, 128, 147, 68, 18, 16, 110, 61, 66, 45, 103, 122, 59, 139, 95, 50, 76, 144, 36, 101, 150, 81, 47, 73, 120, 4, 125, 113, 151, 37, 70, 75, 56, 26, 77, 64, 58, 78, 60, 39, 55, 89, 132, 131, 146, 0, 104, 65, 38, 12, 91, 3, 138, 123, 29, 51, 71, 41, 80, 62, 79, 28, 105, 118, 148, 94, 11, 35, 84, 14, 46, 99, 109, 34, 124, 88, 67, 142, 127, 121, 52, 85, 102, 100, 133, 33, 134, 8, 25, 83, 107, 112, 135, 27, 10, 90, 20, 31, 9, 119, 116, 53, 43, 40, 24, 72, 149, 130, 6, 87, 1, 98, 126, 111, 54]
======
LLL_Net(
  (model): SimpleMLP(
    (fc1): Linear(in_features=405, out_features=66, bias=True)
    (fc2): Sequential()
  )
  (heads): ModuleList()
)
======

************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time=  0.4s | Train: skip eval | Valid: time=  0.1s loss=2.463, TAw acc= 13.9% | *
| Epoch   2, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=2.441, TAw acc= 15.7% | *
| Epoch   3, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=2.416, TAw acc= 22.6% | *
| Epoch   4, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=2.385, TAw acc= 27.8% | *
| Epoch   5, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=2.357, TAw acc= 19.1% | *
| Epoch   6, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=2.311, TAw acc= 34.8% | *
| Epoch   7, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.278, TAw acc= 38.3% | *
| Epoch   8, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=2.230, TAw acc= 46.1% | *
| Epoch   9, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=2.196, TAw acc= 47.0% | *
| Epoch  10, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.123, TAw acc= 25.2% | *
| Epoch  11, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=2.069, TAw acc= 31.3% | *
| Epoch  12, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=2.015, TAw acc= 52.2% | *
| Epoch  13, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=1.963, TAw acc= 33.9% | *
| Epoch  14, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.927, TAw acc= 44.3% | *
| Epoch  15, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=1.861, TAw acc= 59.1% | *
| Epoch  16, time=  0.1s | Train: skip eval | Valid: time=  0.1s loss=1.815, TAw acc= 34.8% | *
| Epoch  17, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.760, TAw acc= 52.2% | *
| Epoch  18, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=1.726, TAw acc= 60.9% | *
| Epoch  19, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=1.671, TAw acc= 64.3% | *
| Epoch  20, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=1.634, TAw acc= 46.1% | *
| Epoch  21, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=1.598, TAw acc= 51.3% | *
| Epoch  22, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=1.573, TAw acc= 49.6% | *
| Epoch  23, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.542, TAw acc= 50.4% | *
| Epoch  24, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=1.536, TAw acc= 60.9% | *
| Epoch  25, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.514, TAw acc= 61.7% | *
| Epoch  26, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=1.443, TAw acc= 67.8% | *
