	dataset_config: {'path': '/home/fr27/Documents/pyscript/har/DSADS/dsads.mat', 'path_test': '/home/fr27/Documents/pyscript/har/DSADS/dsads.mat', 'resize': None, 'pad': None, 'crop': None, 'normalize': None, 'class_order': None, 'extend_channel': None, 'flip': False}
CLASS_ORDER: [13, 49, 137, 128, 82, 121, 136, 123, 24, 59, 78, 2, 132, 56, 34, 120, 147, 0, 29, 150, 76, 48, 146, 37, 112, 113, 115, 109, 116, 145, 85, 134, 1, 103, 26, 21, 18, 107, 75, 99, 124, 88, 25, 35, 106, 11, 90, 92, 27, 65, 77, 50, 67, 33, 71, 74, 9, 141, 98, 12, 38, 130, 5, 139, 117, 20, 60, 55, 62, 135, 4, 52, 39, 31, 8, 14, 17, 86, 102, 94, 89, 36, 42, 122, 15, 70, 73, 61, 68, 51, 7, 10, 140, 69, 104, 118, 91, 133, 97, 143, 100, 30, 96, 58, 144, 127, 41, 125, 72, 108, 47, 81, 129, 95, 87, 40, 64, 110, 83, 105, 119, 79, 44, 53, 45, 131, 80, 46, 57, 138, 54, 149, 84, 28, 16, 19, 63, 142, 6, 151, 22, 43, 148, 114, 32, 93, 23, 3, 111, 66, 126, 101]
======
LLL_Net(
  (model): SimpleMLP(
    (fc1): Linear(in_features=405, out_features=66, bias=True)
    (fc2): Sequential()
  )
  (heads): ModuleList()
)
======

************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time=  0.9s | Train: skip eval | Valid: time=  0.2s loss=2.455, TAw acc=  9.6% | *
| Epoch   2, time=  0.2s | Train: skip eval | Valid: time=  0.3s loss=2.419, TAw acc= 17.4% | *
| Epoch   3, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.387, TAw acc= 25.2% | *
| Epoch   4, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=2.350, TAw acc= 31.3% | *
| Epoch   5, time=  0.2s | Train: skip eval | Valid: time=  0.3s loss=2.310, TAw acc= 23.5% | *
| Epoch   6, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.262, TAw acc= 30.4% | *
| Epoch   7, time=  0.2s | Train: skip eval | Valid: time=  0.3s loss=2.214, TAw acc= 37.4% | *
| Epoch   8, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.170, TAw acc= 43.5% | *
| Epoch   9, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.128, TAw acc= 46.1% | *
| Epoch  10, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.052, TAw acc= 64.3% | *
| Epoch  11, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=1.993, TAw acc= 41.7% | *
| Epoch  12, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.929, TAw acc= 45.2% | *
| Epoch  13, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=1.875, TAw acc= 44.3% | *
| Epoch  14, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.829, TAw acc= 52.2% | *
| Epoch  15, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.765, TAw acc= 60.0% | *
| Epoch  16, time=  0.2s | Train: skip eval | Valid: time=  0.3s loss=1.709, TAw acc= 56.5% | *
| Epoch  17, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.641, TAw acc= 66.1% | *
| Epoch  18, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=1.605, TAw acc= 72.2% | *
| Epoch  19, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.543, TAw acc= 81.7% | *
| Epoch  20, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=1.494, TAw acc= 84.3% | *
| Epoch  21, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.448, TAw acc= 57.4% | *
| Epoch  22, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.412, TAw acc= 79.1% | *
| Epoch  23, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.375, TAw acc= 63.5% | *
| Epoch  24, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.357, TAw acc= 85.2% | *
| Epoch  25, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=1.332, TAw acc= 85.2% | *
| Epoch  26, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.254, TAw acc= 76.5% | *
| Epoch  27, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.234, TAw acc= 89.6% | *
| Epoch  28, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.176, TAw acc= 77.4% | *
| Epoch  29, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.152, TAw acc= 87.8% | *
| Epoch  30, time=  0.2s | Train: skip eval | Valid: time=  0.3s loss=1.095, TAw acc= 87.8% | *
| Epoch  31, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.059, TAw acc= 80.9% | *
| Epoch  32, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=1.019, TAw acc= 82.6% | *
| Epoch  33, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.020, TAw acc= 93.9% |
| Epoch  34, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=0.985, TAw acc= 84.3% | *
| Epoch  35, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.951, TAw acc= 85.2% | *
| Epoch  36, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=0.924, TAw acc= 85.2% | *
| Epoch  37, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=0.915, TAw acc= 82.6% | *
| Epoch  38, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=0.871, TAw acc= 93.9% | *
