	dataset_config: {'path': '/home/fr27/Documents/pyscript/har/DSADS/dsads.mat', 'path_test': '/home/fr27/Documents/pyscript/har/DSADS/dsads.mat', 'resize': None, 'pad': None, 'crop': None, 'normalize': None, 'class_order': None, 'extend_channel': None, 'flip': False}
CLASS_ORDER: [3, 126, 86, 91, 56, 142, 132, 51, 105, 95, 26, 101, 43, 10, 100, 138, 144, 131, 119, 46, 81, 96, 14, 21, 42, 97, 36, 12, 94, 88, 5, 64, 109, 113, 129, 134, 6, 19, 31, 60, 15, 120, 55, 82, 83, 28, 71, 65, 44, 45, 133, 102, 7, 75, 112, 150, 61, 23, 18, 147, 151, 0, 63, 135, 76, 114, 89, 104, 74, 87, 115, 29, 8, 106, 148, 52, 141, 53, 25, 143, 40, 93, 124, 125, 85, 57, 140, 20, 73, 24, 136, 54, 1, 22, 30, 84, 17, 67, 37, 116, 122, 11, 92, 47, 78, 111, 108, 13, 2, 90, 137, 77, 59, 9, 99, 128, 149, 35, 145, 146, 118, 62, 110, 72, 121, 79, 38, 49, 41, 50, 139, 123, 103, 70, 80, 4, 107, 33, 48, 117, 32, 34, 69, 58, 27, 68, 16, 66, 39, 127, 130, 98]
======
LLL_Net(
  (model): SimpleMLP(
    (fc1): Linear(in_features=405, out_features=66, bias=True)
    (fc2): Sequential()
  )
  (heads): ModuleList()
)
======

************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time=  0.9s | Train: skip eval | Valid: time=  0.3s loss=2.430, TAw acc= 11.3% | *
| Epoch   2, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.385, TAw acc= 29.6% | *
| Epoch   3, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.339, TAw acc= 27.0% | *
| Epoch   4, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.293, TAw acc= 30.4% | *
| Epoch   5, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.242, TAw acc= 41.7% | *
| Epoch   6, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=2.176, TAw acc= 40.0% | *
| Epoch   7, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.119, TAw acc= 40.9% | *
| Epoch   8, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.064, TAw acc= 51.3% | *
| Epoch   9, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=2.007, TAw acc= 29.6% | *
| Epoch  10, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.925, TAw acc= 53.0% | *
| Epoch  11, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.864, TAw acc= 33.9% | *
| Epoch  12, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.799, TAw acc= 43.5% | *
| Epoch  13, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.737, TAw acc= 40.9% | *
| Epoch  14, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=1.689, TAw acc= 42.6% | *
| Epoch  15, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.625, TAw acc= 60.0% | *
| Epoch  16, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.574, TAw acc= 59.1% | *
| Epoch  17, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.501, TAw acc= 67.8% | *
| Epoch  18, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.453, TAw acc= 81.7% | *
| Epoch  19, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.391, TAw acc= 93.0% | *
| Epoch  20, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.344, TAw acc= 84.3% | *
| Epoch  21, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.289, TAw acc= 80.0% | *
| Epoch  22, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.270, TAw acc= 67.8% | *
| Epoch  23, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.217, TAw acc= 87.0% | *
| Epoch  24, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.204, TAw acc= 75.7% | *
| Epoch  25, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.180, TAw acc= 73.9% | *
| Epoch  26, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=1.098, TAw acc= 93.0% | *
| Epoch  27, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.085, TAw acc= 81.7% | *
| Epoch  28, time=  0.2s | Train: skip eval | Valid: time=  0.3s loss=1.034, TAw acc= 81.7% | *
| Epoch  29, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.005, TAw acc= 85.2% | *
| Epoch  30, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.947, TAw acc= 93.0% | *
| Epoch  31, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.909, TAw acc= 90.4% | *
| Epoch  32, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.876, TAw acc= 92.2% | *
| Epoch  33, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=0.869, TAw acc= 86.1% | *
| Epoch  34, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.851, TAw acc= 87.0% | *
| Epoch  35, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.802, TAw acc= 93.0% | *
| Epoch  36, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=0.759, TAw acc= 88.7% | *
| Epoch  37, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.748, TAw acc= 93.0% | *
| Epoch  38, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.731, TAw acc= 96.5% | *
| Epoch  39, time=  0.2s | Train: skip eval | Valid: time=  0.3s loss=0.679, TAw acc= 94.8% | *
| Epoch  40, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=0.658, TAw acc= 91.3% | *
| Epoch  41, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.634, TAw acc= 95.7% | *
| Epoch  42, time=  0.2s | Train: skip eval | Valid: time=  0.3s loss=0.639, TAw acc= 95.7% |
| Epoch  43, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=0.621, TAw acc= 95.7% | *
| Epoch  44, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.596, TAw acc= 91.3% | *
| Epoch  45, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.561, TAw acc= 92.2% | *
| Epoch  46, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=0.532, TAw acc= 95.7% | *
| Epoch  47, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.511, TAw acc= 94.8% | *
| Epoch  48, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.497, TAw acc= 95.7% | *
| Epoch  49, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=0.483, TAw acc= 94.8% | *
| Epoch  50, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=0.472, TAw acc= 94.8% | *
| Epoch  51, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.462, TAw acc= 96.5% | *
| Epoch  52, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.446, TAw acc= 95.7% | *
