	dataset_config: {'path': '/home/fr27/Documents/pyscript/har/DSADS/dsads.mat', 'path_test': '/home/fr27/Documents/pyscript/har/DSADS/dsads.mat', 'resize': None, 'pad': None, 'crop': None, 'normalize': None, 'class_order': None, 'extend_channel': None, 'flip': False}
CLASS_ORDER: [26, 97, 149, 89, 63, 69, 147, 142, 12, 99, 94, 109, 4, 13, 25, 39, 56, 75, 118, 90, 86, 100, 16, 52, 36, 80, 14, 32, 6, 82, 144, 151, 79, 53, 129, 146, 101, 110, 141, 119, 77, 42, 3, 11, 2, 10, 98, 85, 28, 102, 145, 8, 123, 44, 83, 113, 24, 139, 128, 114, 55, 31, 37, 130, 84, 107, 143, 57, 136, 47, 61, 88, 115, 46, 23, 74, 140, 67, 122, 112, 65, 116, 35, 106, 54, 62, 60, 18, 66, 131, 81, 1, 50, 87, 38, 21, 103, 148, 45, 138, 49, 20, 33, 5, 120, 71, 41, 7, 51, 124, 58, 40, 93, 22, 137, 29, 127, 96, 134, 111, 125, 132, 105, 92, 34, 68, 108, 72, 17, 59, 70, 15, 78, 43, 76, 121, 9, 27, 133, 91, 19, 150, 117, 135, 95, 0, 126, 104, 64, 30, 48, 73]
======
LLL_Net(
  (model): SimpleMLP(
    (fc1): Linear(in_features=405, out_features=66, bias=True)
    (fc2): Sequential()
  )
  (heads): ModuleList()
)
======

************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time=  0.8s | Train: skip eval | Valid: time=  0.2s loss=2.471, TAw acc= 17.4% | *
| Epoch   2, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.429, TAw acc= 16.5% | *
| Epoch   3, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.389, TAw acc= 33.9% | *
| Epoch   4, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.342, TAw acc= 31.3% | *
| Epoch   5, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=2.296, TAw acc= 16.5% | *
| Epoch   6, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.231, TAw acc= 25.2% | *
| Epoch   7, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.172, TAw acc= 42.6% | *
| Epoch   8, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.118, TAw acc= 32.2% | *
| Epoch   9, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.072, TAw acc= 39.1% | *
| Epoch  10, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.986, TAw acc= 47.8% | *
| Epoch  11, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.920, TAw acc= 45.2% | *
| Epoch  12, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.849, TAw acc= 52.2% | *
| Epoch  13, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.791, TAw acc= 47.8% | *
| Epoch  14, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.751, TAw acc= 45.2% | *
| Epoch  15, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.680, TAw acc= 52.2% | *
| Epoch  16, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.621, TAw acc= 51.3% | *
| Epoch  17, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.550, TAw acc= 67.0% | *
| Epoch  18, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.502, TAw acc= 67.8% | *
| Epoch  19, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.441, TAw acc= 73.9% | *
| Epoch  20, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.393, TAw acc= 71.3% | *
| Epoch  21, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.346, TAw acc= 64.3% | *
| Epoch  22, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.321, TAw acc= 59.1% | *
| Epoch  23, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.274, TAw acc= 71.3% | *
| Epoch  24, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.270, TAw acc= 67.8% | *
| Epoch  25, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.244, TAw acc= 63.5% | *
| Epoch  26, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.154, TAw acc= 73.0% | *
| Epoch  27, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.142, TAw acc= 80.9% | *
| Epoch  28, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.082, TAw acc= 82.6% | *
| Epoch  29, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.069, TAw acc= 80.0% | *
| Epoch  30, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.998, TAw acc= 81.7% | *
| Epoch  31, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.967, TAw acc= 78.3% | *
| Epoch  32, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.938, TAw acc= 93.9% | *
| Epoch  33, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.932, TAw acc= 93.0% | *
| Epoch  34, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.916, TAw acc= 92.2% | *
| Epoch  35, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.880, TAw acc= 84.3% | *
| Epoch  36, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.861, TAw acc= 80.0% | *
